Fabricante,Dosis,Fecha,Cantidad
Astra-Zeneca,Segunda,2021-01-22,0
Total,Primera,2021-01-23,56964
Total,Segunda,2021-01-23,8368
Pfizer,Primera,2021-01-23,56964
Pfizer,Segunda,2021-01-23,8368
Sinovac,Primera,2021-01-23,0
Sinovac,Segunda,2021-01-23,0
Astra-Zeneca,Primera,2021-01-23,0
Astra-Zeneca,Segunda,2021-01-23,0
Total,Primera,2021-01-24,56964
Total,Segunda,2021-01-24,8368
Pfizer,Primera,2021-01-24,56964
Pfizer,Segunda,2021-01-24,8368
Sinovac,Primera,2021-01-24,0
Sinovac,Segunda,2021-01-24,0
Astra-Zeneca,Primera,2021-01-24,0
Astra-Zeneca,Segunda,2021-01-24,0
Total,Primera,2021-01-25,56981
Total,Segunda,2021-01-25,9771
Pfizer,Primera,2021-01-25,56981
Pfizer,Segunda,2021-01-25,9771
Sinovac,Primera,2021-01-25,0
Sinovac,Segunda,2021-01-25,0
Astra-Zeneca,Primera,2021-01-25,0
Astra-Zeneca,Segunda,2021-01-25,0
Total,Primera,2021-01-26,57002
Total,Segunda,2021-01-26,10366
Pfizer,Primera,2021-01-26,57002
Pfizer,Segunda,2021-01-26,10366
Sinovac,Primera,2021-01-26,0
Sinovac,Segunda,2021-01-26,0
Astra-Zeneca,Primera,2021-01-26,0
Astra-Zeneca,Segunda,2021-01-26,0
Total,Primera,2021-01-27,57003
Total,Segunda,2021-01-27,10400
Pfizer,Primera,2021-01-27,57003
Pfizer,Segunda,2021-01-27,10400
Sinovac,Primera,2021-01-27,0
Sinovac,Segunda,2021-01-27,0
Astra-Zeneca,Primera,2021-01-27,0
Astra-Zeneca,Segunda,2021-01-27,0
Total,Primera,2021-01-28,57003
Total,Segunda,2021-01-28,10400
Pfizer,Primera,2021-01-28,57003
Pfizer,Segunda,2021-01-28,10400
Sinovac,Primera,2021-01-28,0
Sinovac,Segunda,2021-01-28,0
Astra-Zeneca,Primera,2021-01-28,0
Astra-Zeneca,Segunda,2021-01-28,0
Total,Primera,2021-01-29,57003
Total,Segunda,2021-01-29,10405
Pfizer,Primera,2021-01-29,57003
Pfizer,Segunda,2021-01-29,10405
Sinovac,Primera,2021-01-29,0
Sinovac,Segunda,2021-01-29,0
Astra-Zeneca,Primera,2021-01-29,0
Astra-Zeneca,Segunda,2021-01-29,0
Total,Primera,2021-01-30,57004
Total,Segunda,2021-01-30,10405
Pfizer,Primera,2021-01-30,57004
Pfizer,Segunda,2021-01-30,10405
Sinovac,Primera,2021-01-30,0
Sinovac,Segunda,2021-01-30,0
Astra-Zeneca,Primera,2021-01-30,0
Astra-Zeneca,Segunda,2021-01-30,0
Total,Primera,2021-01-31,57004
Total,Segunda,2021-01-31,10405
Pfizer,Primera,2021-01-31,57004
Pfizer,Segunda,2021-01-31,10405
Sinovac,Primera,2021-01-31,0
Sinovac,Segunda,2021-01-31,0
Astra-Zeneca,Primera,2021-01-31,0
Astra-Zeneca,Segunda,2021-01-31,0
Total,Primera,2021-02-01,57004
Total,Segunda,2021-02-01,10405
Pfizer,Primera,2021-02-01,57004
Pfizer,Segunda,2021-02-01,10405
Sinovac,Primera,2021-02-01,0
Sinovac,Segunda,2021-02-01,0
Astra-Zeneca,Primera,2021-02-01,0
Astra-Zeneca,Segunda,2021-02-01,0
Total,Primera,2021-02-02,70185
Total,Segunda,2021-02-02,10411
Pfizer,Primera,2021-02-02,57004
Pfizer,Segunda,2021-02-02,10411
Sinovac,Primera,2021-02-02,13181
Sinovac,Segunda,2021-02-02,0
Astra-Zeneca,Primera,2021-02-02,0
Astra-Zeneca,Segunda,2021-02-02,0
Total,Primera,2021-02-03,240595
Total,Segunda,2021-02-03,10411
Pfizer,Primera,2021-02-03,57004
Pfizer,Segunda,2021-02-03,10411
Sinovac,Primera,2021-02-03,183591
Sinovac,Segunda,2021-02-03,0
Astra-Zeneca,Primera,2021-02-03,0
Astra-Zeneca,Segunda,2021-02-03,0
Total,Primera,2021-02-04,414672
Total,Segunda,2021-02-04,12519
Pfizer,Primera,2021-02-04,57024
Pfizer,Segunda,2021-02-04,12519
Sinovac,Primera,2021-02-04,357648
Sinovac,Segunda,2021-02-04,0
Astra-Zeneca,Primera,2021-02-04,0
Astra-Zeneca,Segunda,2021-02-04,0
Total,Primera,2021-02-05,583372
Total,Segunda,2021-02-05,13189
Pfizer,Primera,2021-02-05,57042
Pfizer,Segunda,2021-02-05,13189
Sinovac,Primera,2021-02-05,526330
Sinovac,Segunda,2021-02-05,0
Astra-Zeneca,Primera,2021-02-05,0
Astra-Zeneca,Segunda,2021-02-05,0
Total,Primera,2021-02-06,611220
Total,Segunda,2021-02-06,13194
Pfizer,Primera,2021-02-06,57042
Pfizer,Segunda,2021-02-06,13194
Sinovac,Primera,2021-02-06,554178
Sinovac,Segunda,2021-02-06,0
Astra-Zeneca,Primera,2021-02-06,0
Astra-Zeneca,Segunda,2021-02-06,0
Total,Primera,2021-02-07,619856
Total,Segunda,2021-02-07,13195
Pfizer,Primera,2021-02-07,57042
Pfizer,Segunda,2021-02-07,13195
Sinovac,Primera,2021-02-07,562814
Sinovac,Segunda,2021-02-07,0
Astra-Zeneca,Primera,2021-02-07,0
Astra-Zeneca,Segunda,2021-02-07,0
Total,Primera,2021-02-08,841384
Total,Segunda,2021-02-08,24958
Pfizer,Primera,2021-02-08,57060
Pfizer,Segunda,2021-02-08,24958
Sinovac,Primera,2021-02-08,784324
Sinovac,Segunda,2021-02-08,0
Astra-Zeneca,Primera,2021-02-08,0
Astra-Zeneca,Segunda,2021-02-08,0
Total,Primera,2021-02-09,1083906
Total,Segunda,2021-02-09,44330
Pfizer,Primera,2021-02-09,57150
Pfizer,Segunda,2021-02-09,44330
Sinovac,Primera,2021-02-09,1026756
Sinovac,Segunda,2021-02-09,0
Astra-Zeneca,Primera,2021-02-09,0
Astra-Zeneca,Segunda,2021-02-09,0
Total,Primera,2021-02-10,1356495
Total,Segunda,2021-02-10,52665
Pfizer,Primera,2021-02-10,57249
Pfizer,Segunda,2021-02-10,52665
Sinovac,Primera,2021-02-10,1299246
Sinovac,Segunda,2021-02-10,0
Astra-Zeneca,Primera,2021-02-10,0
Astra-Zeneca,Segunda,2021-02-10,0
Total,Primera,2021-02-11,1607797
Total,Segunda,2021-02-11,55546
Pfizer,Primera,2021-02-11,57435
Pfizer,Segunda,2021-02-11,55546
Sinovac,Primera,2021-02-11,1550362
Sinovac,Segunda,2021-02-11,0
Astra-Zeneca,Primera,2021-02-11,0
Astra-Zeneca,Segunda,2021-02-11,0
Total,Primera,2021-02-12,1837091
Total,Segunda,2021-02-12,55756
Pfizer,Primera,2021-02-12,57580
Pfizer,Segunda,2021-02-12,55756
Sinovac,Primera,2021-02-12,1779511
Sinovac,Segunda,2021-02-12,0
Astra-Zeneca,Primera,2021-02-12,0
Astra-Zeneca,Segunda,2021-02-12,0
Total,Primera,2021-02-13,1866598
Total,Segunda,2021-02-13,55790
Pfizer,Primera,2021-02-13,57580
Pfizer,Segunda,2021-02-13,55790
Sinovac,Primera,2021-02-13,1809018
Sinovac,Segunda,2021-02-13,0
Astra-Zeneca,Primera,2021-02-13,0
Astra-Zeneca,Segunda,2021-02-13,0
Total,Primera,2021-02-14,1871064
Total,Segunda,2021-02-14,55790
Pfizer,Primera,2021-02-14,57580
Pfizer,Segunda,2021-02-14,55790
Sinovac,Primera,2021-02-14,1813484
Sinovac,Segunda,2021-02-14,0
Astra-Zeneca,Primera,2021-02-14,0
Astra-Zeneca,Segunda,2021-02-14,0
Total,Primera,2021-02-15,2136972
Total,Segunda,2021-02-15,55790
Pfizer,Primera,2021-02-15,57581
Pfizer,Segunda,2021-02-15,55790
Sinovac,Primera,2021-02-15,2079391
Sinovac,Segunda,2021-02-15,0
Astra-Zeneca,Primera,2021-02-15,0
Astra-Zeneca,Segunda,2021-02-15,0
Total,Primera,2021-02-16,2357031
Total,Segunda,2021-02-16,55800
Pfizer,Primera,2021-02-16,57581
Pfizer,Segunda,2021-02-16,55800
Sinovac,Primera,2021-02-16,2299450
Sinovac,Segunda,2021-02-16,0
Astra-Zeneca,Primera,2021-02-16,0
Astra-Zeneca,Segunda,2021-02-16,0
Total,Primera,2021-02-17,2545140
Total,Segunda,2021-02-17,55800
Pfizer,Primera,2021-02-17,57581
Pfizer,Segunda,2021-02-17,55800
Sinovac,Primera,2021-02-17,2487559
Sinovac,Segunda,2021-02-17,0
Astra-Zeneca,Primera,2021-02-17,0
Astra-Zeneca,Segunda,2021-02-17,0
Total,Primera,2021-02-18,2700431
Total,Segunda,2021-02-18,55800
Pfizer,Primera,2021-02-18,57582
Pfizer,Segunda,2021-02-18,55800
Sinovac,Primera,2021-02-18,2642849
Sinovac,Segunda,2021-02-18,0
Astra-Zeneca,Primera,2021-02-18,0
Astra-Zeneca,Segunda,2021-02-18,0
Total,Primera,2021-02-19,2842610
Total,Segunda,2021-02-19,55800
Pfizer,Primera,2021-02-19,57582
Pfizer,Segunda,2021-02-19,55800
Sinovac,Primera,2021-02-19,2785028
Sinovac,Segunda,2021-02-19,0
Astra-Zeneca,Primera,2021-02-19,0
Astra-Zeneca,Segunda,2021-02-19,0
Total,Primera,2021-02-20,2852249
Total,Segunda,2021-02-20,55800
Pfizer,Primera,2021-02-20,57582
Pfizer,Segunda,2021-02-20,55800
Sinovac,Primera,2021-02-20,2794667
Sinovac,Segunda,2021-02-20,0
Astra-Zeneca,Primera,2021-02-20,0
Astra-Zeneca,Segunda,2021-02-20,0
Total,Primera,2021-02-21,2853413
Total,Segunda,2021-02-21,55800
Pfizer,Primera,2021-02-21,57582
Pfizer,Segunda,2021-02-21,55800
Sinovac,Primera,2021-02-21,2795831
Sinovac,Segunda,2021-02-21,0
Astra-Zeneca,Primera,2021-02-21,0
Astra-Zeneca,Segunda,2021-02-21,0
Total,Primera,2021-02-22,2961542
Total,Segunda,2021-02-22,55821
Pfizer,Primera,2021-02-22,69654
Pfizer,Segunda,2021-02-22,55821
Sinovac,Primera,2021-02-22,2891888
Sinovac,Segunda,2021-02-22,0
Astra-Zeneca,Primera,2021-02-22,0
Astra-Zeneca,Segunda,2021-02-22,0
Total,Primera,2021-02-23,3055779
Total,Segunda,2021-02-23,55861
Pfizer,Primera,2021-02-23,94461
Pfizer,Segunda,2021-02-23,55861
Sinovac,Primera,2021-02-23,2961318
Sinovac,Segunda,2021-02-23,0
Astra-Zeneca,Primera,2021-02-23,0
Astra-Zeneca,Segunda,2021-02-23,0
Total,Primera,2021-02-24,3141897
Total,Segunda,2021-02-24,56034
Pfizer,Primera,2021-02-24,122803
Pfizer,Segunda,2021-02-24,56034
Sinovac,Primera,2021-02-24,3019094
Sinovac,Segunda,2021-02-24,0
Astra-Zeneca,Primera,2021-02-24,0
Astra-Zeneca,Segunda,2021-02-24,0
Total,Primera,2021-02-25,3227839
Total,Segunda,2021-02-25,56178
Pfizer,Primera,2021-02-25,156362
Pfizer,Segunda,2021-02-25,56178
Sinovac,Primera,2021-02-25,3071477
Sinovac,Segunda,2021-02-25,0
Astra-Zeneca,Primera,2021-02-25,0
Astra-Zeneca,Segunda,2021-02-25,0
Total,Primera,2021-02-26,3305936
Total,Segunda,2021-02-26,56296
Pfizer,Primera,2021-02-26,185953
Pfizer,Segunda,2021-02-26,56296
Sinovac,Primera,2021-02-26,3119983
Sinovac,Segunda,2021-02-26,0
Astra-Zeneca,Primera,2021-02-26,0
Astra-Zeneca,Segunda,2021-02-26,0
Total,Primera,2021-02-27,3315910
Total,Segunda,2021-02-27,56300
Pfizer,Primera,2021-02-27,192209
Pfizer,Segunda,2021-02-27,56300
Sinovac,Primera,2021-02-27,3123701
Sinovac,Segunda,2021-02-27,0
Astra-Zeneca,Primera,2021-02-27,0
Astra-Zeneca,Segunda,2021-02-27,0
Total,Primera,2021-02-28,3316265
Total,Segunda,2021-02-28,56300
Pfizer,Primera,2021-02-28,192211
Pfizer,Segunda,2021-02-28,56300
Sinovac,Primera,2021-02-28,3124054
Sinovac,Segunda,2021-02-28,0
Astra-Zeneca,Primera,2021-02-28,0
Astra-Zeneca,Segunda,2021-02-28,0
Total,Primera,2021-03-01,3453389
Total,Segunda,2021-03-01,56707
Pfizer,Primera,2021-03-01,207035
Pfizer,Segunda,2021-03-01,56318
Sinovac,Primera,2021-03-01,3246354
Sinovac,Segunda,2021-03-01,389
Astra-Zeneca,Primera,2021-03-01,0
Astra-Zeneca,Segunda,2021-03-01,0
Total,Primera,2021-03-02,3612307
Total,Segunda,2021-03-02,69119
Pfizer,Primera,2021-03-02,237791
Pfizer,Segunda,2021-03-02,56397
Sinovac,Primera,2021-03-02,3374516
Sinovac,Segunda,2021-03-02,12722
Astra-Zeneca,Primera,2021-03-02,0
Astra-Zeneca,Segunda,2021-03-02,0
Total,Primera,2021-03-03,3770143
Total,Segunda,2021-03-03,223167
Pfizer,Primera,2021-03-03,256172
Pfizer,Segunda,2021-03-03,56518
Sinovac,Primera,2021-03-03,3513971
Sinovac,Segunda,2021-03-03,166649
Astra-Zeneca,Primera,2021-03-03,0
Astra-Zeneca,Segunda,2021-03-03,0
Total,Primera,2021-03-04,3914832
Total,Segunda,2021-03-04,388977
Pfizer,Primera,2021-03-04,265125
Pfizer,Segunda,2021-03-04,56621
Sinovac,Primera,2021-03-04,3649707
Sinovac,Segunda,2021-03-04,332356
Astra-Zeneca,Primera,2021-03-04,0
Astra-Zeneca,Segunda,2021-03-04,0
Total,Primera,2021-03-05,4051116
Total,Segunda,2021-03-05,550525
Pfizer,Primera,2021-03-05,270676
Pfizer,Segunda,2021-03-05,56807
Sinovac,Primera,2021-03-05,3780440
Sinovac,Segunda,2021-03-05,493718
Astra-Zeneca,Primera,2021-03-05,0
Astra-Zeneca,Segunda,2021-03-05,0
Total,Primera,2021-03-06,4060760
Total,Segunda,2021-03-06,574650
Pfizer,Primera,2021-03-06,271020
Pfizer,Segunda,2021-03-06,56807
Sinovac,Primera,2021-03-06,3789740
Sinovac,Segunda,2021-03-06,517843
Astra-Zeneca,Primera,2021-03-06,0
Astra-Zeneca,Segunda,2021-03-06,0
Total,Primera,2021-03-07,4061825
Total,Segunda,2021-03-07,581544
Pfizer,Primera,2021-03-07,271126
Pfizer,Segunda,2021-03-07,56807
Sinovac,Primera,2021-03-07,3790699
Sinovac,Segunda,2021-03-07,524737
Astra-Zeneca,Primera,2021-03-07,0
Astra-Zeneca,Segunda,2021-03-07,0
Total,Primera,2021-03-08,4198423
Total,Segunda,2021-03-08,795524
Pfizer,Primera,2021-03-08,283626
Pfizer,Segunda,2021-03-08,56841
Sinovac,Primera,2021-03-08,3914797
Sinovac,Segunda,2021-03-08,738683
Astra-Zeneca,Primera,2021-03-08,0
Astra-Zeneca,Segunda,2021-03-08,0
Total,Primera,2021-03-09,4337414
Total,Segunda,2021-03-09,1033004
Pfizer,Primera,2021-03-09,321095
Pfizer,Segunda,2021-03-09,56868
Sinovac,Primera,2021-03-09,4016319
Sinovac,Segunda,2021-03-09,976136
Astra-Zeneca,Primera,2021-03-09,0
Astra-Zeneca,Segunda,2021-03-09,0
Total,Primera,2021-03-10,4473167
Total,Segunda,2021-03-10,1298459
Pfizer,Primera,2021-03-10,362604
Pfizer,Segunda,2021-03-10,56889
Sinovac,Primera,2021-03-10,4110563
Sinovac,Segunda,2021-03-10,1241570
Astra-Zeneca,Primera,2021-03-10,0
Astra-Zeneca,Segunda,2021-03-10,0
Total,Primera,2021-03-11,4644595
Total,Segunda,2021-03-11,1543949
Pfizer,Primera,2021-03-11,408251
Pfizer,Segunda,2021-03-11,56934
Sinovac,Primera,2021-03-11,4236344
Sinovac,Segunda,2021-03-11,1487015
Astra-Zeneca,Primera,2021-03-11,0
Astra-Zeneca,Segunda,2021-03-11,0
Total,Primera,2021-03-12,4795798
Total,Segunda,2021-03-12,1767039
Pfizer,Primera,2021-03-12,425556
Pfizer,Segunda,2021-03-12,56969
Sinovac,Primera,2021-03-12,4370242
Sinovac,Segunda,2021-03-12,1710070
Astra-Zeneca,Primera,2021-03-12,0
Astra-Zeneca,Segunda,2021-03-12,0
Total,Primera,2021-03-13,4820094
Total,Segunda,2021-03-13,1793168
Pfizer,Primera,2021-03-13,426109
Pfizer,Segunda,2021-03-13,56969
Sinovac,Primera,2021-03-13,4393985
Sinovac,Segunda,2021-03-13,1736199
Astra-Zeneca,Primera,2021-03-13,0
Astra-Zeneca,Segunda,2021-03-13,0
Total,Primera,2021-03-14,4822840
Total,Segunda,2021-03-14,1797002
Pfizer,Primera,2021-03-14,426109
Pfizer,Segunda,2021-03-14,56969
Sinovac,Primera,2021-03-14,4396731
Sinovac,Segunda,2021-03-14,1740033
Astra-Zeneca,Primera,2021-03-14,0
Astra-Zeneca,Segunda,2021-03-14,0
Total,Primera,2021-03-15,4980542
Total,Segunda,2021-03-15,2069401
Pfizer,Primera,2021-03-15,440824
Pfizer,Segunda,2021-03-15,66001
Sinovac,Primera,2021-03-15,4539718
Sinovac,Segunda,2021-03-15,2003400
Astra-Zeneca,Primera,2021-03-15,0
Astra-Zeneca,Segunda,2021-03-15,0
Total,Primera,2021-03-16,5146855
Total,Segunda,2021-03-16,2312838
Pfizer,Primera,2021-03-16,471466
Pfizer,Segunda,2021-03-16,88558
Sinovac,Primera,2021-03-16,4675389
Sinovac,Segunda,2021-03-16,2224280
Astra-Zeneca,Primera,2021-03-16,0
Astra-Zeneca,Segunda,2021-03-16,0
Total,Primera,2021-03-17,5297653
Total,Segunda,2021-03-17,2528839
Pfizer,Primera,2021-03-17,500334
Pfizer,Segunda,2021-03-17,114708
Sinovac,Primera,2021-03-17,4797319
Sinovac,Segunda,2021-03-17,2414131
Astra-Zeneca,Primera,2021-03-17,0
Astra-Zeneca,Segunda,2021-03-17,0
Total,Primera,2021-03-18,5445624
Total,Segunda,2021-03-18,2714896
Pfizer,Primera,2021-03-18,518757
Pfizer,Segunda,2021-03-18,144986
Sinovac,Primera,2021-03-18,4926867
Sinovac,Segunda,2021-03-18,2569910
Astra-Zeneca,Primera,2021-03-18,0
Astra-Zeneca,Segunda,2021-03-18,0
Total,Primera,2021-03-19,5581436
Total,Segunda,2021-03-19,2869637
Pfizer,Primera,2021-03-19,523715
